Stock Number,Make,Model,Specification,Colour,Registration Date,VIN,Odometer,Internet Price
UF8422,Ford,RANGER 2007 - 2022,RANGER 2.2TDCi XL P/U SUP/CAB,White,02/03/2020,AFAGXXMJ2GKJ46960,116700.0,329900.0
UF8424,Ford,RANGER 2007 - 2022,RANGER 2.0D BI-TURBO WILDTRAK 4X4 A/T P/U D/C,White,18/01/2022,AFAPXXMJ2PMC32237,46450.0,599900.0
UF8425,Ford,Ranger Double Cab ICA,# 2.0L Turbo XLT 4X2 10AT,Grey,18/01/2022,AFAPXXMJ2PMD51414,64600.0,499900.0
UF8439,Toyota,Fortuner,FORTUNER 2.8GD-6 R/B A/T,Artic White,07/01/2019,AHTJA3GS800233170,135000.0,439900.0
UF8440,Ford,Ranger Double Cab ICA,* 2.0L Turbo XL 4x4 6MT,Carbonized grey,13/10/2023,AFAPXXMJ2PPD23030,240.0,589900.0
UF8447,Ford,RANGER 2007 - 2022,RANGER 2.2TDCi XLS P/U S/C,White,08/10/2020,AFANXXMJ2NKU64938,125000.0,299900.0
UF8453,Ford,Everest,2.0L Sport 10AT 4x2,METEOR GREY,26/10/2023,MNBRXXMAWRPD07326,8000.0,899900.0
UF8454,Ford,Ranger Single Cab ICA,*2.0L Turbo XL 4x4 HR 6AT,FROZEN WHITE,26/10/2023,AFANXXMJ2NPL50482,500.0,529900.0
UF8464,Ford,TERRITORY / EVEREST,EVEREST 2.0D XLT A/T,Frozen White,26/07/2020,AFAJXXMJWJLA88326,100713.0,459900.0
UF8469,Mercedes-Benz,C CLASS (2014),C180 A/T,Silver,06/09/2019,WDD2050762R534092,10700.0,389900.0
UF8491,Volkswagen,Tiguan,TIGUAN 1.4 TSI TRENDLINE DSG (110KW),White,30/04/2019,WVGZZZ5NZJW462728,126000.0,329900.0
UF8498,Ford,Ranger Double Cab ICA,*2.0L BiT XLT 4x4 10AT,White,01/10/2023,AFAPXXMJ2PPE37558,10800.0,819900.0
UF8500,Ford,RANGER 2007 - 2022,RANGER 2.2TDCi XL 4X4 P/U D/C,White,23/07/2019,AFAPXXMJ2PKL10615,96969.0,359900.0
UF8504,Ford,TERRITORY / EVEREST,EVEREST 2.2 TDCi XLS A/T,White,06/06/2018,AFAJXXMJWJJL46639,106000.0,0.0
UF8507,Ford,RANGER 2007 - 2022,RANGER 2.2TDCI XL 4X4 P/U SUP/CAB,White,09/11/2021,AFAGXXMJ2GMC34411,87000.0,399900.0
UF8510,Toyota,COROLLA QUEST,COROLLA QUEST PLUS 1.8,White,11/08/2021,AHTBF8JE001006555,90700.0,249900.0
UF8511,Ford,TERRITORY / EVEREST,EVEREST 3.2 TDCi XLT 4X4 A/T,White,22/01/2020,AFAJXXMJWJKD88610,56950.0,499900.0
UF8516,Toyota,HILUX 2016 ON,HILUX 2.8 GD-6 RB RAIDER A/T P/U D/C,White,19/10/2016,AHTGA3DD600964311,144000.0,449900.0
UF8521,Mitsubishi,PAJERO/PAJERO SPORT,PAJERO SPORT 2.4D A/T,alluminium,22/12/2018,MMBGUKR10HH027027,74000.0,399900.0
UF8524,ISUZU,D-MAX,300 LX Double cab,Grey,12/06/2019,ACVVRCER1J4019442,60000.0,0.0
UF8525,Ford,RANGER 2007 - 2022,RANGER 3.2TDCi XLT 4X4 A/T P/U D/C,White,14/01/2019,AFAPXXMJ2PJU89395,140000.0,0.0
UF8527,Ford,TERRITORY / EVEREST,EVEREST 2.0D XLT 4X4 A/T,Whita,24/03/2021,AFAJXXMJWJMU66310,90000.0,0.0
UF8530,Ford,RANGER 2007 - 2022,RANGER 3.2TDCi XLT 4X4 A/T P/U SUP/CAB,White,09/11/2018,AFAGXXMJ2GJU00728,130000.0,389900.0
UF8533,Ford,Ranger Double Cab ICA,# 2.2D XL 4X4 MT,Standard White,20/09/2018,AFAPXXMJ2PJM15385,153150.0,349900.0
UF8537,Ford,RANGER 2007 - 2022,RANGER 2.2TDCi XL 4X4 P/U D/C,Arctic White,20/09/2018,AFAPXXMJ2PJP22147,124000.0,0.0
UF8543,Mazda,B 2500 / 2600 / BT-50,BT-50 2.2TDi SLE P/U D/C,White,04/05/2021,MM6UR0YD1L0128127,,0.0
UF8544,Ford,Ranger Double Cab ICA,* 2.0L Turbo Base 4x4 6MT,White,27/09/2023,AFAPXXMJ2PPL47332,10000.0,0.0
UF8545,Nissan,X Trail,X TRAIL 2.0 dCi 4X2 XE (R82/R88),Silver Metallic,30/03/2011,JN1TCAT31Z0750110,208000.0,0.0
UF8546,Mazda,Mazda2,1.5L Individual 5dr 6MT,White,28/05/2014,JM6DE10Y2E0280263,67000.0,0.0
UF8548,Ford,Ranger Double Cab ICA,* 2.0L Turbo Base 4x4 6MT,Moondust Silver,23/01/2024,AFAPXXMJ2PPT88786,,0.0
UF8551,Volkswagen,Polo,1.0 Highline DSG,Silver,12/01/2018,AAVZZZAWZJU008744,72935.0,0.0
UF8553,Ford,RANGER 2007 - 2022,RANGER RAPTOR 2.0D BI-TURBO 4X4 A/T P/U D/C,black,08/04/2021,AFAPXXMJ2PMU71714,200719.0,0.0
UF8555,Nissan,Patrol,PATROL 5.6 V8 LE PREMIUM,White,09/05/2018,JN1TANY62Z0100205,139250.0,0.0
UF8557,Ford,RANGER 2007 - 2022,RANGER 2.2TDCi XL 4X4 P/U S/C,White,03/10/2019,AFANXXMJ2NKJ51631,272000.0,0.0
UF8558,Ford,RANGER 2007 - 2022,RANGER 2.2TDCi XL 4X4 P/U S/C,White,18/09/2019,AFANXXMJ2NKE00753,225000.0,0.0
UF8559,Ford,RANGER 2007 - 2022,RANGER 2.2TDCi XL 4X4 P/U S/C,White,01/10/2019,AFANXXMJ2NKJ49903,273403.0,0.0
UF8560,Toyota,HILUX 2016 ON,HILUX 2.8 GD-6 RB RAIDER A/T P/U D/C,White,04/03/2016,AHTGA3DDX00960827,167619.0,0.0
UF8563,Ford,RANGER 2007 - ON,RANGER 2.0D BI-TURBO THUNDER A/T P/U D/C,Black,09/09/2020,AFAPXXMJ2PLE23081,115000.0,0.0
UF8565,Volkswagen,AMAROK,AMAROK CANYON 3.0TDi 4MOT A/T D/C P/U,Grey,21/02/2020,WV1ZZZ2HZKA046547,139000.0,0.0
UF8567,Nissan,Navara Double Cab,2.5D PRO-2X A/T,Grey,26/07/2023,ADNCCAD23Z0018874,7100.0,0.0
